Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Promoters,62.28,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Karthik Sundar Iyer,8.76,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Ebrahim Y Rangoonwala,1.79,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Shridhar P Iyer,0.12,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
FIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
DIIs,0.5,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Public,37.22,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2021,01-09-2021
Promoters,60.06,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Karthik Sundar,7.37,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Shridhar P Iyer,0.12,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
FIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
DIIs,0.5,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Public,39.45,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2021,01-12-2021
Promoters,60.82,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2022,01-03-2022
