Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Promoters,29.96,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Nirmal Bhanwarlal Jain,19.04,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Madhu N Jain,4.64,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Venkataraman Rajamani,3.23,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Aditi Avinash Athavankar in her capacity as a Tru,2.45,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Ardent Impex Pvt Ltd,0.37,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Orpheus Trading Pvt Ltd,0.18,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
FIIs,25.03,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Wf Asian Reconnaissance Fund Limited,9.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Hwic Asia Fund Class A Shares,8.74,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Bank Muscat India Fund,3.43,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Lobco Limited,1.47,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Public,45.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Others,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2021,01-09-2021
Promoters,29.95,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Nirmal Bhanwarlal Jain,19.04,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Madhu N Jain,4.64,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Venkataraman Rajamani,3.23,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Aditi Avinash Athavankar in her capacity as a Tru,2.45,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Ardent Impex Pvt Ltd,0.37,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Orpheus Trading Pvt Ltd,0.18,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
FIIs,24.87,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Wf Asian Reconnaissance Fund Limited,9.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Hwic Asia Fund Class A Shares,8.74,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Bank Muscat India Fund,3.43,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Lobco Limited,1.47,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Public,45.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Others,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2021,01-12-2021
Promoters,29.95,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Nirmal Bhanwarlal Jain,19.04,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Madhu N Jain,4.64,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Venkataraman Rajamani,3.23,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Aditi Avinash Athavankar in her capacity as a Tru,2.45,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Ardent Impex Pvt Ltd,0.37,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Orpheus Trading Pvt Ltd,0.18,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
FIIs,24.86,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Wf Asian Reconnaissance Fund Limited,9.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Hwic Asia Fund Class A Shares,8.74,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Bank Muscat India Fund,3.43,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Lobco Limited,1.47,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Public,45.19,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Others,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2022,01-03-2022
Promoters,29.94,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Nirmal Bhanwarlal Jain,19.03,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Madhu N Jain,4.64,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Venkataraman Rajamani,3.23,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Aditi Avinash Athavankar,2.45,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Ardent Impex Pvt Ltd,0.37,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Orpheus Trading Pvt Ltd,0.18,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
FIIs,24.85,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Wf Asian Reconnaissance Fund Limited,9.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Hwic Asia Fund Class A Shares,8.73,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Bank Muscat India Fund,3.43,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Lobco Limited,1.47,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Public,45.19,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2022,01-06-2022
Promoters,32.68,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Nirmal Bhanwarlal Jain,19.85,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Madhu N Jain,6.02,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Venkataraman Rajamani,3.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Aditi Avinash Athavankar,2.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2022,01-09-2022
