Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Promoters,34.25,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Rekaesh Kumar Wadhawan,18.15,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Interactive Multimedia Technologies Privae Limited,3.67,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Dinshaw Trapinex Builders Private Limited,3.31,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Dheeraj Consultancy Private Limited,3.31,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Sarang Wadhawan,0.99,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Privilege Distilleries Private Limited,2.43,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Malti Rakesh Kumar Wadhawan,1.93,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Anjana Rameshchandar Sakhuja,0.27,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Anu Wahawan,0.12,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Romy Mehra,0.04,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Nikita Trehan,0.01,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
FIIs,46.3,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Orbis SicavAsia ExJapan Equity Fund,9.37,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Platinum Asia Fund,4.31,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Causeway Emrging Markets Fund,2.93,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Merrill Lynch Markets Singapore Pte Ltd,2.2,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Platinum International Fund,1.74,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Goldman Sachs Singapore Pte,1.94,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Swiss Finance Corporation Mauritius Ltd,1.39,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Orbis Global Equity Fund Ltd,1.36,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Emerging Markets Core Equity Portfolio,1.17,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Aria Co Pt Ltd As Trustee For Combined Investment,1.1,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Acadian Emerging Markets Small Cap Equity Fund Llc,1.03,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
DIIs,1.52,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Public,17.93,532873,HDIL,5.15,2440000000.0,473786407.76699024,Sep 2016,01-09-2016
Promoters,36.49,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Rekaesh Kumar Wadhawan,17.52,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Interactive Multimedia Technologies Privae Limited,3.55,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Dinshaw Trapinex Builders Private Limited,3.2,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Dheeraj Consultancy Private Limited,3.2,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Sarang Wadhawan,4.41,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Privilege Distilleries Private Limited,2.35,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Malti Rakesh Kumar Wadhawan,1.87,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Anjana Rameshchandar Sakhuja,0.26,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Anu Wahawan,0.12,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Nikita Trehan,0.01,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
FIIs,42.64,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Orbis SicavAsia ExJapan Equity Fund,9.05,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Platinum Asia Fund,3.62,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Causeway Emrging Markets Fund,1.71,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
Merrill Lynch Markets Singapore Pte Ltd,1.81,532873,HDIL,5.15,2440000000.0,473786407.76699024,Dec 2016,01-12-2016
