Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Promoters,72.19,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Tata Sons Private Limited,72.16,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
JAMSETJI TATA TRUSTMr R N Tata Mr R K Kri,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
NAVAJBAI RATAN TATA TRUSTMr R N Tata Mr J,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
FIIs,15.37,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
DIIs,7.89,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Life Insurance Corporation of India,3.67,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Government,0.04,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Public,4.51,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2021,01-09-2021
Promoters,72.19,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Tata Sons Private Limited,72.16,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
JAMSETJI TATA TRUSTMr R N Tata Mr R K Kri,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
NAVAJBAI RATAN TATA TRUSTMr R N Tata Mr J,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
FIIs,14.98,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
DIIs,7.93,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Life Insurance Corporation of India,3.65,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Government,0.04,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Public,4.86,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2021,01-12-2021
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
JAMSETJI TATA TRUSTMr R N Tata Mr R K Kri,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
NAVAJBAI RATAN TATA TRUSTMr R N Tata Mr J,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
FIIs,14.15,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
DIIs,7.81,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Life Insurance Corporation of India,3.69,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Government,0.04,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Public,5.7,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2022,01-03-2022
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
JAMSETJI TATA TRUSTMr R N Tata Mr R K Kri,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
NAVAJBAI RATAN TATA TRUSTMr R N Tata Mr J,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
FIIs,13.5,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
DIIs,8.36,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Life Insurance Corporation of India,3.94,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Public,5.8,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2022,01-06-2022
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
JAMSETJI TATA TRUST Mr RNTata Mr Vijay Singh,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
FIIs,13.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
DIIs,8.53,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Life Insurance Corporation of India,4.16,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Public,6.06,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
