,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,ch
1474,Aishwarya Pathy,15.51,505302,,3247.0,2170000000.0,668309.208500154,Jun 2024,01-06-2024,up
3467,Hinduja Group Limited,37.85,532859,HGS,903.0,42000000000.0,46511627.906976745,Jun 2024,01-06-2024,up
4576,Kamlaben Vitthalbhai Patel,0.04,531550,,342.0,3070000000.0,8976608.187134502,Jun 2024,01-06-2024,up
4872,Shashikala Agarwala,29.0,530533,,119.0,820000000.0,6890756.302521008,Jun 2024,01-06-2024,up
7835,Renu Dugar,9.76,534796,,37.0,114000000.0,3081081.081081081,Jun 2024,01-06-2024,up
7964,Ipca Laboratories Limited,40.98,500259,LYKALABS,152.0,5410000000.0,35592105.2631579,Jun 2024,01-06-2024,up
9560,Dr AgarwalS Health Care Limited,71.9,526783,,4005.0,18820000000.0,4699126.092384519,Jun 2024,01-06-2024,up
9942,President of India,71.72,500106,IFCI,71.7,187450000000.0,2614365411.436541,Jun 2024,01-06-2024,up
14207,Raghunandana Tangirala,23.92,543996,UDS,363.0,24280000000.0,66887052.3415978,Jun 2024,01-06-2024,up
15616,Jeetender Kumar Agarwal,55.49,539111,,14.2,70500000.0,4964788.732394367,Jun 2024,01-06-2024,up
16569,Tansukh Gulgulia,0.05,523550,,55.2,812000000.0,14710144.92753623,Jun 2024,01-06-2024,up
23778,Ashok Madhavdas Khurana,30.18,539894,,19.0,5110000000.0,268947368.42105263,Jun 2024,01-06-2024,up
25328,Nahar Capital and Financial Services Ltd,46.12,500296,NAHARSPING,324.0,11660000000.0,35987654.32098766,Jun 2024,01-06-2024,up
26520,Vikram swarup,0.17,500249,KSB,922.0,160350000000.0,173915401.30151844,Jun 2024,01-06-2024,up
28659,Babita Pankaj Rathod,9.19,544012,CELLO,912.0,201410000000.0,220844298.245614,Jun 2024,01-06-2024,up
29153,Kamal K Singh,0.52,500366,ROLTA,4.38,727000000.0,165981735.15981737,Jun 2024,01-06-2024,up
29317,Kavita Jain,1.95,538896,,655.0,2850000000.0,4351145.038167939,Jun 2024,01-06-2024,up
36932,Sunil Verma,7.64,507609,,33.9,96600000.0,2849557.5221238937,Jun 2024,01-06-2024,up
37029,Kailashchandra Kedia,1.78,505515,,12.6,128000000.0,10158730.15873016,Jun 2024,01-06-2024,up
37977,Devansh Agrawal,11.31,539046,MANAKCOAT,64.2,4770000000.0,74299065.42056075,Jun 2024,01-06-2024,up
38603,Sandhya Arora,2.55,526407,,31.5,8640000000.0,274285714.28571427,Jun 2024,01-06-2024,up
