,Unnamed: 0,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
5395,5395,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2021,01-09-2021
5396,5396,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2021,01-12-2021
5397,5397,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2022,01-03-2022
5398,5398,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2022,01-06-2022
5399,5399,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2022,01-09-2022
5400,5400,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2022,01-12-2022
5401,5401,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2023,01-03-2023
5402,5402,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2023,01-06-2023
5403,5403,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2023,01-09-2023
5404,5404,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2023,01-12-2023
5405,5405,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2024,01-03-2024
5406,5406,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2024,01-06-2024
27124,27124,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2021,01-12-2021
27125,27125,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2022,01-03-2022
27126,27126,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2022,01-06-2022
27127,27127,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Sep 2022,01-09-2022
27128,27128,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2022,01-12-2022
27129,27129,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2023,01-03-2023
27130,27130,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2023,01-06-2023
27131,27131,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Sep 2023,01-09-2023
27132,27132,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2023,01-12-2023
27133,27133,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2024,01-03-2024
27134,27134,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2024,01-06-2024
27135,27135,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jul 2024,01-07-2024
67000,67000,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2021,01-09-2021
67001,67001,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2021,01-12-2021
67002,67002,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2022,01-03-2022
67003,67003,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2022,01-06-2022
67004,67004,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2022,01-09-2022
67005,67005,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2022,01-12-2022
67006,67006,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2023,01-03-2023
67007,67007,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2023,01-06-2023
67008,67008,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2023,01-09-2023
67009,67009,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2023,01-12-2023
67010,67010,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2024,01-03-2024
67011,67011,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2024,01-06-2024
70298,70298,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Sep 2021,01-09-2021
70299,70299,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Dec 2021,01-12-2021
70300,70300,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Mar 2022,01-03-2022
70301,70301,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Jun 2022,01-06-2022
