,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change%,ch
10071,Aditi Hitesh Gowani,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
10072,Aditi Hitesh Gowani,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
10073,Aditi Hitesh Gowani,1.07,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-3.60360360360361,Down
10074,Aditi Hitesh Gowani,1.07,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
10075,Aditi Hitesh Gowani,1.02,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.67289719626168,Down
10299,Aditi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
10300,Aditi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
10301,Aditi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
10302,Aditi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
10303,Aditi Shahra,1.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
10304,Aditi Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-5.12820512820511,Down
10305,Aditi Shahra,1.11,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
22902,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
22903,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,,EQUAL
22904,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,,EQUAL
22905,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,,EQUAL
22906,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,,EQUAL
22907,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
22908,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,,EQUAL
22909,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,,EQUAL
22910,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,,EQUAL
22911,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,,EQUAL
22912,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,,EQUAL
22913,Amisha Shahra,0.0,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,,EQUAL
33134,Ankesh Shahra,3.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
33135,Ankesh Shahra,3.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
33136,Ankesh Shahra,3.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
33137,Ankesh Shahra,3.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
33138,Ankesh Shahra,3.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
33139,Ankesh Shahra,3.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-4.5945945945946,Down
33140,Ankesh Shahra,3.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
33141,Ankesh Shahra,3.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
33142,Ankesh Shahra,3.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
33143,Ankesh Shahra,3.38,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-4.24929178470255,Down
