Promoter,,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change,ch
President Of India,5395,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2021,01-09-2021,,EQUAL
President Of India,5396,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,5397,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,5398,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,5399,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,5400,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2022,01-12-2022,-0.12304447178765887,Down
President Of India,5401,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,5402,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,5403,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,5404,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2023,01-12-2023,-1.003167898627244,Down
President Of India,5405,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,5406,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,27124,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2021,01-12-2021,0.72888888888889,UP
President Of India,27125,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,27126,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,27127,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,27128,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,27129,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,27130,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,27131,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,27132,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,27133,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,27134,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,27135,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jul 2024,01-07-2024,0.0,EQUAL
President Of India,67000,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2021,01-09-2021,8.983409812919163,UP
President Of India,67001,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,67002,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,67003,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,67004,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,67005,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,67006,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,67007,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,67008,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,67009,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,67010,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,67011,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,70298,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Sep 2021,01-09-2021,-14.20242914979758,Down
President Of India,70299,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,70300,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,70301,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Jun 2022,01-06-2022,0.0,EQUAL
